# started on Tue Jun  2 21:26:46 2020,,,,,,,,,,,,
,,,,,,,,,,,,
378238,,cache-references,778749183,100,0,,,,,,,
20522,,cache-misses,778749183,100,0,5,of all cache refs,,,,,
# started on Tue Jun  2 21:26:54 2020,,,,,,,,,,,,
,,,,,,,,,,,378238,20522
1520497,,cache-references,821923457,100,0,,,,,,1520497,42061
42061,,cache-misses,821923457,100,0,2,of all cache refs,,,,335560,21137
# started on Tue Jun  2 21:26:47 2020,,,,,,,,,,,294810,26048
,,,,,,,,,,,4450325,20557
335560,,cache-references,771300178,100,0,,,,,,588671,26689
21137,,cache-misses,771300178,100,0,6,of all cache refs,,,,2161513,101375
# started on Tue Jun  2 21:26:48 2020,,,,,,,,,,,1365169,68301
,,,,,,,,,,,1244972,63110
294810,,cache-references,766488618,100,0,,,,,,1394817,126390
26048,,cache-misses,766488618,100,0,8,of all cache refs,,,,,
# started on Tue Jun  2 21:26:49 2020,,,,,,,,,,,,
,,,,,,,,,,,,
4450325,,cache-references,788285999,100,0,,,,,,,
20557,,cache-misses,788285999,100,0,0,of all cache refs,,,,,
# started on Tue Jun  2 21:26:49 2020,,,,,,,,,,,,
,,,,,,,,,,,,
588671,,cache-references,787142297,100,0,,,,,,,
26689,,cache-misses,787142297,100,0,4,of all cache refs,,,,,
# started on Tue Jun  2 21:26:50 2020,,,,,,,,,,,,
,,,,,,,,,,,,
2161513,,cache-references,904079239,100,0,,,,,,,
101375,,cache-misses,904079239,100,0,4,of all cache refs,,,,,
# started on Tue Jun  2 21:26:51 2020,,,,,,,,,,,,
,,,,,,,,,,,,
1365169,,cache-references,884151141,100,0,,,,,,,
68301,,cache-misses,884151141,100,0,5,of all cache refs,,,,,
# started on Tue Jun  2 21:26:52 2020,,,,,,,,,,,,
,,,,,,,,,,,,
1244972,,cache-references,833467067,100,0,,,,,,,
63110,,cache-misses,833467067,100,0,5,of all cache refs,,,,,
# started on Tue Jun  2 21:26:53 2020,,,,,,,,,,,,
,,,,,,,,,,,,
1394817,,cache-references,830808164,100,0,,,,,,,
126390,,cache-misses,830808164,100,0,9,of all cache refs,,,,,
