# started on Tue Jun  2 21:15:34 2020,,,,,,,,,,
,,,,,,,,,,
3060214,,cache-references,17626938410,100,0,,,,,
248534,,cache-misses,17626938410,100,0,8,of all cache refs,,,
# started on Tue Jun  2 21:18:18 2020,,,,,,,,,,
,,,,,,,,,,
12012226,,cache-references,18923481425,100,0,,,,3060214,248534
1663090,,cache-misses,18923481425,100,0,13,of all cache refs,,12012226,1663090
# started on Tue Jun  2 21:15:52 2020,,,,,,,,,3034253,212132
,,,,,,,,,2237185,151836
3034253,,cache-references,17605265729,100,0,,,,3133617,194072
212132,,cache-misses,17605265729,100,0,6,of all cache refs,,7096589,1042230
# started on Tue Jun  2 21:16:09 2020,,,,,,,,,2353245,173468
,,,,,,,,,4085162,451622
2237185,,cache-references,17600175483,100,0,,,,16141146,2732203
151836,,cache-misses,17600175483,100,0,6,of all cache refs,,14362154,2315986
# started on Tue Jun  2 21:16:27 2020,,,,,,,,,,
,,,,,,,,,,
3133617,,cache-references,17616969313,100,0,,,,,
194072,,cache-misses,17616969313,100,0,6,of all cache refs,,,
# started on Tue Jun  2 21:16:45 2020,,,,,,,,,,
,,,,,,,,,,
7096589,,cache-references,17909858774,100,0,,,,,
1042230,,cache-misses,17909858774,100,0,14,of all cache refs,,,
# started on Tue Jun  2 21:17:03 2020,,,,,,,,,,
,,,,,,,,,,
2353245,,cache-references,17604107364,100,0,,,,,
173468,,cache-misses,17604107364,100,0,7,of all cache refs,,,
# started on Tue Jun  2 21:17:20 2020,,,,,,,,,,
,,,,,,,,,,
4085162,,cache-references,17926664970,100,0,,,,,
451622,,cache-misses,17926664970,100,0,11,of all cache refs,,,
# started on Tue Jun  2 21:17:38 2020,,,,,,,,,,
,,,,,,,,,,
16141146,,cache-references,20152880982,100,0,,,,,
2732203,,cache-misses,20152880982,100,0,16,of all cache refs,,,
# started on Tue Jun  2 21:17:58 2020,,,,,,,,,,
,,,,,,,,,,
14362154,,cache-references,19828095964,100,0,,,,,
2315986,,cache-misses,19828095964,100,0,16,of all cache refs,,,
