# started on Tue Jun  2 21:14:10 2020,,,,,,,,,,
,,,,,,,,,,
1004336,,cache-references,4166022567,100,0,,,,,
48740,,cache-misses,4166022567,100,0,4,of all cache refs,,,
# started on Tue Jun  2 21:14:48 2020,,,,,,,,,,
,,,,,,,,,,
1932890,,cache-references,4166154755,100,0,,,,,
56717,,cache-misses,4166154755,100,0,2,of all cache refs,,1004336,48740
# started on Tue Jun  2 21:14:14 2020,,,,,,,,,1932890,56717
,,,,,,,,,2227546,154229
2227546,,cache-references,4271933764,100,0,,,,2673032,253359
154229,,cache-misses,4271933764,100,0,6,of all cache refs,,4377544,427399
# started on Tue Jun  2 21:14:18 2020,,,,,,,,,900159,85591
,,,,,,,,,990311,83404
2673032,,cache-references,4315898616,100,0,,,,750976,45735
253359,,cache-misses,4315898616,100,0,9,of all cache refs,,838917,45608
# started on Tue Jun  2 21:14:23 2020,,,,,,,,,1802103,58192
,,,,,,,,,,
4377544,,cache-references,4299695118,100,0,,,,,
427399,,cache-misses,4299695118,100,0,9,of all cache refs,,,
# started on Tue Jun  2 21:14:27 2020,,,,,,,,,,
,,,,,,,,,,
900159,,cache-references,4145582993,100,0,,,,,
85591,,cache-misses,4145582993,100,0,9,of all cache refs,,,
# started on Tue Jun  2 21:14:31 2020,,,,,,,,,,
,,,,,,,,,,
990311,,cache-references,4161661412,100,0,,,,,
83404,,cache-misses,4161661412,100,0,8,of all cache refs,,,
# started on Tue Jun  2 21:14:35 2020,,,,,,,,,,
,,,,,,,,,,
750976,,cache-references,4154688096,100,0,,,,,
45735,,cache-misses,4154688096,100,0,6,of all cache refs,,,
# started on Tue Jun  2 21:14:39 2020,,,,,,,,,,
,,,,,,,,,,
838917,,cache-references,4159462369,100,0,,,,,
45608,,cache-misses,4159462369,100,0,5,of all cache refs,,,
# started on Tue Jun  2 21:14:44 2020,,,,,,,,,,
,,,,,,,,,,
1802103,,cache-references,4153836326,100,0,,,,,
58192,,cache-misses,4153836326,100,0,3,of all cache refs,,,
